Transaction_Id,Transaction_Date,Customer Name,Transaction_Status,Transaction_Type,Customer_Segment,State,Total Amount,Total Fees,Total Tax
T00021293,2025-08-25 00:00:00,Sara Kumar,Failed,Fee Charge,SME,Chandigarh,₹ 639.57,₹ 1.28,₹ 0.23
T00022780,2025-08-09 00:00:00,Aarav Malhotra,Success,Investment,Retail,Chandigarh,₹ 13097.43,₹ 13.10,₹ 2.36
T00022999,2025-08-22 00:00:00,Vihaan Patel,Success,Transfer,Retail,Chandigarh,₹ 10658.94,₹ 53.29,₹ 9.59
T00024527,2025-08-15 00:00:00,Anaya Iyer,Success,Deposit,SME,Chandigarh,₹ 18546.20,₹ 0.00,₹ 0.00
T00025362,2025-08-17 00:00:00,Diya Iyer,Success,Loan EMI,Premium,Chandigarh,₹ 2731.57,₹ 0.00,₹ 0.00
T00025925,2025-08-06 00:00:00,Karan Malhotra,Success,Card Payment,Retail,Chandigarh,₹ 5363.24,₹ 0.00,₹ 0.00
T00026187,2025-08-12 00:00:00,Anaya Iyer,Success,Interest Credit,Retail,Chandigarh,₹ 3589.31,₹ 0.00,₹ 0.00
T00027350,2025-08-21 00:00:00,Aadhya Patel,Success,Fee Charge,Retail,Chandigarh,₹ 507.22,₹ 0.51,₹ 0.09
T00027782,2025-08-16 00:00:00,Pari Nair,Success,Investment,Retail,Chandigarh,₹ 8028.77,₹ 40.14,₹ 7.23
T00028218,2025-08-23 00:00:00,Neha Sharma,Success,Interest Credit,Retail,Chandigarh,₹ 4280.25,₹ 4.28,₹ 0.77
T00029165,2025-08-03 00:00:00,Priya Kulkarni,Success,Loan EMI,Corporate,Chandigarh,₹ 4945.92,₹ 24.73,₹ 4.45
T00029652,2025-08-10 00:00:00,Riya Reddy,Success,Loan EMI,Retail,Chandigarh,₹ 4980.44,₹ 9.96,₹ 1.79
T00030485,2025-08-20 00:00:00,Ishaan Patel,Success,Withdrawal,SME,Chandigarh,₹ 4411.02,₹ 22.06,₹ 3.97
T00030558,2025-08-15 00:00:00,Riya Kulkarni,Success,Refund,Retail,Chandigarh,₹ 1785.49,₹ 1.79,₹ 0.32
T00030992,2025-08-16 00:00:00,Pari Nair,Success,Loan EMI,Retail,Chandigarh,₹ 11201.66,₹ 0.00,₹ 0.00
T00031049,2025-08-13 00:00:00,Sneha Kulkarni,Success,Investment,Wealth,Chandigarh,₹ 2708.78,₹ 13.54,₹ 2.44
T00031947,2025-08-15 00:00:00,Priya Chopra,Success,Card Payment,Corporate,Chandigarh,₹ 3955.57,₹ 0.00,₹ 0.00
T00032086,2025-08-30 00:00:00,Rohan Patel,Success,Transfer,Retail,Chandigarh,₹ 8980.50,₹ 0.00,₹ 0.00
T00032156,2025-08-01 00:00:00,Anika Patel,Success,Withdrawal,Premium,Chandigarh,₹ 4714.20,₹ 9.43,₹ 1.70
T00032954,2025-08-16 00:00:00,Neha Kapoor,Failed,Loan EMI,SME,Chandigarh,₹ 6865.68,₹ 6.87,₹ 1.24
T00033082,2025-08-10 00:00:00,Ayaan Agarwal,Success,Loan EMI,Retail,Chandigarh,₹ 11103.78,₹ 11.10,₹ 2.00
T00033099,2025-08-07 00:00:00,Aditya Kumar,Failed,Transfer,Retail,Chandigarh,₹ 52719.91,₹ 52.72,₹ 9.49
T00033660,2025-08-15 00:00:00,Sneha Kulkarni,Success,Investment,Wealth,Chandigarh,₹ 8310.18,₹ 16.62,₹ 2.99
T00034350,2025-08-02 00:00:00,Vivaan Joshi,Success,Card Payment,Retail,Chandigarh,₹ 1983.19,₹ 9.92,₹ 1.79
T00034663,2025-08-30 00:00:00,Pari Gupta,Success,Fee Charge,Retail,Chandigarh,₹ 771.62,₹ 0.00,₹ 0.00
T00035436,2025-08-18 00:00:00,Ayaan Bansal,Success,Withdrawal,Retail,Chandigarh,₹ 8823.89,₹ 8.82,₹ 1.59
T00036044,2025-08-28 00:00:00,Myra Mishra,Success,Card Payment,Retail,Chandigarh,₹ 3085.26,₹ 3.09,₹ 0.56
T00036746,2025-08-11 00:00:00,Krishna Patel,Success,Loan EMI,Retail,Chandigarh,₹ 3271.73,₹ 3.27,₹ 0.59
T00039410,2025-08-09 00:00:00,Riya Kulkarni,Success,Deposit,Retail,Chandigarh,₹ 12127.69,₹ 24.26,₹ 4.37
T00039516,2025-08-15 00:00:00,Amit Jain,Success,Loan EMI,Premium,Chandigarh,₹ 13675.78,₹ 27.35,₹ 4.92
T00042224,2025-08-29 00:00:00,Amit Mehta,Success,Loan EMI,Premium,Chandigarh,₹ 10149.51,₹ 50.75,₹ 9.13
T00043618,2025-08-14 00:00:00,Neha Kapoor,Success,Card Payment,SME,Chandigarh,₹ 3727.40,₹ 0.00,₹ 0.00
T00045795,2025-08-08 00:00:00,Rohan Bansal,Success,Loan EMI,Premium,Chandigarh,₹ 9333.89,₹ 46.67,₹ 8.40
T00047242,2025-08-28 00:00:00,Anaya Iyer,Success,Loan EMI,SME,Chandigarh,₹ 13560.94,₹ 13.56,₹ 2.44
T00049823,2025-08-05 00:00:00,Krishna Joshi,Success,Bill Payment,Corporate,Chandigarh,₹ 3621.47,₹ 0.00,₹ 0.00
T00000651,2025-08-02 00:00:00,Diya Iyer,Success,Card Payment,Retail,Delhi,₹ 2639.61,₹ 13.20,₹ 2.38
T00002383,2025-08-01 00:00:00,Sai Sharma,Success,Loan EMI,Retail,Delhi,₹ 27859.18,₹ 0.00,₹ 0.00
T00002430,2025-08-24 00:00:00,Riya Mehta,Success,Bill Payment,Retail,Delhi,₹ 3153.51,₹ 6.31,₹ 1.14
T00003213,2025-08-11 00:00:00,Karan Joshi,Failed,Investment,Retail,Delhi,₹ 19243.47,₹ 38.49,₹ 6.93
T00003280,2025-08-23 00:00:00,Rahul Verma,Success,Deposit,Retail,Delhi,₹ 9532.53,₹ 0.00,₹ 0.00
T00005266,2025-08-15 00:00:00,Pooja Desai,Success,Loan EMI,Retail,Delhi,₹ 2399.59,₹ 12.00,₹ 2.16
T00005379,2025-08-12 00:00:00,Priya Nair,Failed,Interest Credit,Retail,Delhi,₹ 4277.10,₹ 0.00,₹ 0.00
T00008045,2025-08-08 00:00:00,Aarav Agarwal,Success,Bill Payment,Retail,Delhi,₹ 3551.82,₹ 17.76,₹ 3.20
T00008143,2025-08-25 00:00:00,Pari Gupta,Success,Investment,Retail,Delhi,₹ 14601.39,₹ 73.01,₹ 13.14
T00009301,2025-08-01 00:00:00,Pari Malhotra,Success,Withdrawal,Premium,Delhi,₹ 1438.20,₹ 0.00,₹ 0.00
T00010082,2025-08-15 00:00:00,Kabir Joshi,Success,Interest Credit,Retail,Delhi,₹ 2271.49,₹ 0.00,₹ 0.00
T00010818,2025-08-10 00:00:00,Rahul Kumar,Success,Transfer,Retail,Delhi,₹ 6550.75,₹ 13.10,₹ 2.36
T00010932,2025-08-03 00:00:00,Nisha Kumar,Success,Transfer,Premium,Delhi,₹ 20973.62,₹ 41.95,₹ 7.55
T00011757,2025-08-19 00:00:00,Kiara Singh,Success,Loan EMI,Premium,Delhi,₹ 15734.24,₹ 0.00,₹ 0.00
T00011986,2025-08-13 00:00:00,Rahul Jain,Success,Card Payment,Retail,Delhi,₹ 1481.11,₹ 7.41,₹ 1.33
T00011997,2025-08-17 00:00:00,Neha Kulkarni,Success,Bill Payment,Retail,Delhi,₹ 3173.02,₹ 6.35,₹ 1.14
T00015472,2025-08-05 00:00:00,Arjun Nair,Pending,Loan EMI,SME,Delhi,₹ 10421.93,₹ 20.84,₹ 3.75
T00015579,2025-08-18 00:00:00,Anika Kapoor,Success,Deposit,Retail,Delhi,₹ 11338.57,₹ 0.00,₹ 0.00
T00015966,2025-08-23 00:00:00,Krishna Iyer,Success,Fee Charge,SME,Delhi,₹ 192.64,₹ 0.19,₹ 0.03
T00016188,2025-08-13 00:00:00,Pooja Sharma,Success,Deposit,Corporate,Delhi,₹ 15462.35,₹ 0.00,₹ 0.00
T00016799,2025-08-05 00:00:00,Krishna Bansal,Success,Loan EMI,Wealth,Delhi,₹ 35623.63,₹ 71.25,₹ 12.82
T00017620,2025-08-23 00:00:00,Arjun Nair,Pending,Loan EMI,Corporate,Delhi,₹ 6599.81,₹ 33.00,₹ 5.94
T00018121,2025-08-03 00:00:00,Aditya Nair,Success,Card Payment,Retail,Delhi,₹ 4140.05,₹ 0.00,₹ 0.00
T00018301,2025-08-11 00:00:00,Priya Nair,Success,Interest Credit,Retail,Delhi,₹ 1331.99,₹ 0.00,₹ 0.00
T00019238,2025-08-08 00:00:00,Aarav Singh,Success,Deposit,Retail,Delhi,₹ 15133.85,₹ 15.13,₹ 2.72
T00019378,2025-08-20 00:00:00,Kabir Nair,Success,Investment,Retail,Delhi,₹ 3251.16,₹ 0.00,₹ 0.00
T00020833,2025-08-03 00:00:00,Kabir Patel,Pending,Deposit,Retail,Delhi,₹ 17928.87,₹ 35.86,₹ 6.45
T00021147,2025-08-12 00:00:00,Ayaan Joshi,Success,Transfer,Premium,Delhi,₹ 29898.54,₹ 29.90,₹ 5.38
T00021683,2025-08-22 00:00:00,Arjun Sharma,Success,Interest Credit,Premium,Delhi,₹ 3889.84,₹ 19.45,₹ 3.50
T00023715,2025-08-27 00:00:00,Aarav Agarwal,Success,Transfer,Retail,Delhi,₹ 20973.03,₹ 41.95,₹ 7.55
T00023766,2025-08-30 00:00:00,Priya Gupta,Success,Transfer,SME,Delhi,₹ 23774.67,₹ 0.00,₹ 0.00
T00023978,2025-08-04 00:00:00,Anaya Chopra,Success,Withdrawal,Retail,Delhi,₹ 6884.90,₹ 13.77,₹ 2.48
T00024051,2025-08-28 00:00:00,Amit Jain,Success,Deposit,Retail,Delhi,₹ 12316.76,₹ 0.00,₹ 0.00
T00024547,2025-08-30 00:00:00,Riya Kumar,Success,Fee Charge,Premium,Delhi,₹ 148.24,₹ 0.15,₹ 0.03
T00025279,2025-08-01 00:00:00,Sara Sharma,Success,Fee Charge,Retail,Delhi,₹ 791.41,₹ 3.96,₹ 0.71
T00025316,2025-08-14 00:00:00,Priya Agarwal,Failed,Card Payment,Retail,Delhi,₹ 6237.68,₹ 0.00,₹ 0.00
T00025598,2025-08-31 00:00:00,Vihaan Joshi,Success,Investment,Retail,Delhi,₹ 4018.50,₹ 0.00,₹ 0.00
T00025924,2025-08-10 00:00:00,Nisha Kumar,Success,Investment,Premium,Delhi,₹ 49300.69,₹ 49.30,₹ 8.87
T00026209,2025-08-10 00:00:00,Pooja Kumar,Success,Fee Charge,Premium,Delhi,₹ 663.28,₹ 0.00,₹ 0.00
T00026728,2025-08-19 00:00:00,Sai Kumar,Success,Interest Credit,Corporate,Delhi,₹ 1991.73,₹ 0.00,₹ 0.00
T00028101,2025-08-28 00:00:00,Arjun Nair,Success,Loan EMI,Corporate,Delhi,₹ 9177.58,₹ 9.18,₹ 1.65
T00029022,2025-08-23 00:00:00,Sneha Agarwal,Success,Loan EMI,Corporate,Delhi,₹ 4717.40,₹ 23.59,₹ 4.25
T00029297,2025-08-02 00:00:00,Pooja Sharma,Success,Interest Credit,Corporate,Delhi,₹ 3174.79,₹ 3.17,₹ 0.57
T00030059,2025-08-14 00:00:00,Myra Singh,Success,Loan EMI,Premium,Delhi,₹ 20454.15,₹ 40.91,₹ 7.36
T00030529,2025-08-08 00:00:00,Riya Mehta,Failed,Deposit,Retail,Delhi,₹ 14821.76,₹ 29.64,₹ 5.34
T00030759,2025-08-01 00:00:00,Priya Desai,Failed,Withdrawal,Retail,Delhi,₹ 2338.27,₹ 0.00,₹ 0.00
T00031374,2025-08-04 00:00:00,Vivaan Reddy,Success,Loan EMI,Retail,Delhi,₹ 10516.34,₹ 52.58,₹ 9.46
T00031483,2025-08-17 00:00:00,Ishaan Kumar,Success,Loan EMI,Retail,Delhi,₹ 6526.33,₹ 6.53,₹ 1.18
T00031775,2025-08-31 00:00:00,Diya Singh,Success,Deposit,SME,Delhi,₹ 10097.98,₹ 0.00,₹ 0.00
T00032100,2025-08-19 00:00:00,Rohan Bansal,Success,Interest Credit,Retail,Delhi,₹ 1476.85,₹ 7.38,₹ 1.33
T00032326,2025-08-17 00:00:00,Neha Verma,Success,Deposit,Retail,Delhi,₹ 5177.59,₹ 25.89,₹ 4.66
T00033269,2025-08-04 00:00:00,Rohan Reddy,Success,Deposit,Retail,Delhi,₹ 5683.87,₹ 0.00,₹ 0.00
T00033365,2025-08-21 00:00:00,Sai Kapoor,Success,Interest Credit,Corporate,Delhi,₹ 3057.48,₹ 0.00,₹ 0.00
T00033948,2025-08-18 00:00:00,Kabir Patel,Success,Card Payment,Retail,Delhi,₹ 1673.01,₹ 0.00,₹ 0.00
T00035566,2025-08-08 00:00:00,Vivaan Mehta,Success,Withdrawal,SME,Delhi,₹ 2053.64,₹ 2.05,₹ 0.37
T00035873,2025-08-11 00:00:00,Rahul Nair,Success,Withdrawal,Retail,Delhi,₹ 7314.72,₹ 7.31,₹ 1.32
T00036064,2025-08-28 00:00:00,Anaya Reddy,Success,Transfer,Retail,Delhi,₹ 8587.51,₹ 8.59,₹ 1.55
T00038495,2025-08-09 00:00:00,Myra Chopra,Success,Withdrawal,Retail,Delhi,₹ 3336.59,₹ 3.34,₹ 0.60
T00039858,2025-08-31 00:00:00,Neha Mehta,Success,Investment,Retail,Delhi,₹ 2363.60,₹ 11.82,₹ 2.13
T00039880,2025-08-11 00:00:00,Anika Kapoor,Success,Withdrawal,Retail,Delhi,₹ 7265.44,₹ 0.00,₹ 0.00
T00041421,2025-08-23 00:00:00,Diya Reddy,Success,Investment,Retail,Delhi,₹ 26505.15,₹ 53.01,₹ 9.54
T00041657,2025-08-31 00:00:00,Myra Jain,Success,Loan EMI,Retail,Delhi,₹ 20695.35,₹ 20.70,₹ 3.73
T00041802,2025-08-17 00:00:00,Neha Kulkarni,Success,Bill Payment,Retail,Delhi,₹ 6221.66,₹ 12.44,₹ 2.24
T00042919,2025-08-10 00:00:00,Kiara Mehta,Success,Loan EMI,SME,Delhi,₹ 4202.85,₹ 4.20,₹ 0.76
T00043655,2025-08-15 00:00:00,Diya Mehta,Success,Loan EMI,Premium,Delhi,₹ 47813.92,₹ 47.81,₹ 8.61
T00044001,2025-08-05 00:00:00,Ira Mehta,Success,Investment,Retail,Delhi,₹ 13506.66,₹ 0.00,₹ 0.00
T00044803,2025-08-05 00:00:00,Anika Patel,Success,Transfer,Retail,Delhi,₹ 18386.99,₹ 18.39,₹ 3.31
T00044977,2025-08-07 00:00:00,Amit Singh,Success,Loan EMI,Retail,Delhi,₹ 6515.93,₹ 0.00,₹ 0.00
T00046265,2025-08-19 00:00:00,Nisha Patel,Pending,Fee Charge,Retail,Delhi,₹ 120.59,₹ 0.00,₹ 0.00
T00047182,2025-08-09 00:00:00,Rahul Verma,Success,Transfer,Retail,Delhi,₹ 11329.66,₹ 11.33,₹ 2.04
T00048341,2025-08-11 00:00:00,Ira Mehta,Success,Deposit,Retail,Delhi,₹ 15910.33,₹ 31.82,₹ 5.73
T00048620,2025-08-09 00:00:00,Krishna Chopra,Success,Bill Payment,Premium,Delhi,₹ 7512.04,₹ 0.00,₹ 0.00
T00048867,2025-08-27 00:00:00,Aarav Agarwal,Success,Bill Payment,Retail,Delhi,₹ 5799.00,₹ 29.00,₹ 5.22
T00048962,2025-08-09 00:00:00,Aarav Kulkarni,Success,Loan EMI,Retail,Delhi,₹ 6846.03,₹ 6.85,₹ 1.23
T00049256,2025-08-29 00:00:00,Ira Mehta,Success,Interest Credit,Retail,Delhi,₹ 579.43,₹ 0.00,₹ 0.00
T00049417,2025-08-06 00:00:00,Anaya Reddy,Success,Bill Payment,Retail,Delhi,₹ 2491.03,₹ 0.00,₹ 0.00
T00000090,2025-08-27 00:00:00,Krishna Chopra,Success,Investment,SME,Gujarat,₹ 5531.74,₹ 11.06,₹ 1.99
T00000517,2025-08-16 00:00:00,Neha Bansal,Failed,Card Payment,SME,Gujarat,₹ 13360.76,₹ 13.36,₹ 2.40
T00000521,2025-08-16 00:00:00,Rahul Reddy,Success,Investment,Retail,Gujarat,₹ 5078.09,₹ 5.08,₹ 0.91
T00001138,2025-08-16 00:00:00,Reyansh Iyer,Failed,Card Payment,Premium,Gujarat,₹ 2899.51,₹ 0.00,₹ 0.00
T00001149,2025-08-31 00:00:00,Arjun Patel,Success,Bill Payment,SME,Gujarat,₹ 2542.02,₹ 12.71,₹ 2.29
T00001218,2025-08-31 00:00:00,Riya Mehta,Success,Transfer,Retail,Gujarat,₹ 7856.40,₹ 15.71,₹ 2.83
T00001658,2025-08-26 00:00:00,Kiara Verma,Success,Transfer,Corporate,Gujarat,₹ 9714.50,₹ 0.00,₹ 0.00
T00001865,2025-08-02 00:00:00,Diya Joshi,Success,Loan EMI,Retail,Gujarat,₹ 10478.52,₹ 10.48,₹ 1.89
T00002144,2025-08-27 00:00:00,Diya Desai,Success,Loan EMI,Premium,Gujarat,₹ 19574.12,₹ 97.87,₹ 17.62
T00002678,2025-08-13 00:00:00,Nisha Kulkarni,Success,Card Payment,Premium,Gujarat,₹ 9699.80,₹ 9.70,₹ 1.75
T00003403,2025-08-01 00:00:00,Aarav Singh,Success,Interest Credit,Retail,Gujarat,₹ 550.81,₹ 0.00,₹ 0.00
T00003537,2025-08-28 00:00:00,Priya Joshi,Success,Withdrawal,Retail,Gujarat,₹ 2102.67,₹ 2.10,₹ 0.38
T00004259,2025-08-22 00:00:00,Pari Sharma,Failed,Deposit,SME,Gujarat,₹ 29386.06,₹ 0.00,₹ 0.00
T00004525,2025-08-02 00:00:00,Sneha Desai,Success,Fee Charge,Retail,Gujarat,₹ 920.98,₹ 1.84,₹ 0.33
T00004729,2025-08-22 00:00:00,Rohan Malhotra,Failed,Fee Charge,Premium,Gujarat,₹ 258.97,₹ 0.26,₹ 0.05
T00005259,2025-08-23 00:00:00,Anaya Kumar,Success,Refund,Premium,Gujarat,₹ 1302.73,₹ 2.61,₹ 0.47
T00005460,2025-08-15 00:00:00,Karan Reddy,Success,Transfer,Retail,Gujarat,₹ 20906.23,₹ 104.53,₹ 18.82
T00006243,2025-08-13 00:00:00,Krishna Joshi,Success,Loan EMI,Retail,Gujarat,₹ 5427.36,₹ 10.85,₹ 1.95
T00006496,2025-08-27 00:00:00,Sai Bansal,Success,Deposit,SME,Gujarat,₹ 6488.53,₹ 0.00,₹ 0.00
T00007065,2025-08-31 00:00:00,Krishna Verma,Success,Loan EMI,Premium,Gujarat,₹ 4752.13,₹ 9.50,₹ 1.71
T00007260,2025-08-31 00:00:00,Myra Nair,Success,Card Payment,Retail,Gujarat,₹ 4531.78,₹ 0.00,₹ 0.00
T00007331,2025-08-27 00:00:00,Priya Bansal,Failed,Loan EMI,Premium,Gujarat,₹ 9062.83,₹ 0.00,₹ 0.00
T00007692,2025-08-14 00:00:00,Ira Desai,Success,Transfer,SME,Gujarat,₹ 13651.28,₹ 68.26,₹ 12.29
T00007757,2025-08-13 00:00:00,Karan Reddy,Success,Withdrawal,Premium,Gujarat,₹ 2525.70,₹ 5.05,₹ 0.91
T00007855,2025-08-20 00:00:00,Ira Nair,Success,Loan EMI,Retail,Gujarat,₹ 12626.77,₹ 25.25,₹ 4.54
T00007881,2025-08-27 00:00:00,Karan Mishra,Success,Deposit,Premium,Gujarat,₹ 17576.43,₹ 17.58,₹ 3.16
T00008006,2025-08-13 00:00:00,Aditya Sharma,Success,Fee Charge,Retail,Gujarat,₹ 734.12,₹ 0.73,₹ 0.13
T00008293,2025-08-17 00:00:00,Karan Reddy,Success,Withdrawal,Premium,Gujarat,₹ 4630.64,₹ 23.15,₹ 4.17
T00008605,2025-08-10 00:00:00,Pooja Kulkarni,Failed,Withdrawal,Premium,Gujarat,₹ 1329.42,₹ 0.00,₹ 0.00
T00009326,2025-08-21 00:00:00,Rohan Malhotra,Success,Transfer,Premium,Gujarat,₹ 13879.02,₹ 69.40,₹ 12.49
T00009780,2025-08-05 00:00:00,Myra Chopra,Success,Loan EMI,Premium,Gujarat,₹ 6108.80,₹ 12.22,₹ 2.20
T00009884,2025-08-24 00:00:00,Arjun Bansal,Pending,Loan EMI,Retail,Gujarat,₹ 202872.21,₹ 0.00,₹ 0.00
T00010168,2025-08-12 00:00:00,Amit Agarwal,Success,Card Payment,Premium,Gujarat,₹ 7334.90,₹ 0.00,₹ 0.00
T00010216,2025-08-22 00:00:00,Ishaan Chopra,Success,Refund,Corporate,Gujarat,₹ 3598.37,₹ 17.99,₹ 3.24
T00010252,2025-08-24 00:00:00,Vihaan Jain,Success,Fee Charge,Wealth,Gujarat,₹ 514.42,₹ 0.51,₹ 0.09
T00010877,2025-08-06 00:00:00,Ayaan Gupta,Success,Withdrawal,Retail,Gujarat,₹ 4226.58,₹ 0.00,₹ 0.00
T00011190,2025-08-07 00:00:00,Diya Kulkarni,Success,Withdrawal,Retail,Gujarat,₹ 4773.65,₹ 0.00,₹ 0.00
T00011641,2025-08-26 00:00:00,Rohan Chopra,Success,Withdrawal,SME,Gujarat,₹ 2720.71,₹ 5.44,₹ 0.98
T00011666,2025-08-11 00:00:00,Kabir Kapoor,Success,Withdrawal,Premium,Gujarat,₹ 9375.42,₹ 9.38,₹ 1.69
T00011820,2025-08-24 00:00:00,Ishaan Nair,Success,Loan EMI,Premium,Gujarat,₹ 19176.03,₹ 19.18,₹ 3.45
T00012002,2025-08-07 00:00:00,Krishna Singh,Success,Loan EMI,Corporate,Gujarat,₹ 3449.39,₹ 17.25,₹ 3.10
T00012068,2025-08-04 00:00:00,Kiara Verma,Success,Deposit,Corporate,Gujarat,₹ 34666.58,₹ 173.33,₹ 31.20
T00012723,2025-08-13 00:00:00,Ishaan Joshi,Success,Refund,SME,Gujarat,₹ 1218.34,₹ 2.44,₹ 0.44
T00013333,2025-08-22 00:00:00,Vihaan Mishra,Success,Refund,Corporate,Gujarat,₹ 432.14,₹ 2.16,₹ 0.39
T00013403,2025-08-04 00:00:00,Karan Iyer,Success,Interest Credit,SME,Gujarat,₹ 1558.05,₹ 7.79,₹ 1.40
T00013924,2025-08-26 00:00:00,Diya Kulkarni,Success,Refund,Retail,Gujarat,₹ 1770.22,₹ 8.85,₹ 1.59
T00015062,2025-08-24 00:00:00,Riya Bansal,Success,Transfer,Premium,Gujarat,₹ 11684.15,₹ 0.00,₹ 0.00
T00015418,2025-08-30 00:00:00,Ishaan Patel,Success,Card Payment,Retail,Gujarat,₹ 3455.36,₹ 0.00,₹ 0.00
T00015564,2025-08-03 00:00:00,Ishaan Joshi,Success,Loan EMI,Premium,Gujarat,₹ 11642.40,₹ 23.28,₹ 4.19
T00015992,2025-08-05 00:00:00,Aadhya Iyer,Success,Card Payment,Retail,Gujarat,₹ 3300.39,₹ 6.60,₹ 1.19
T00016138,2025-08-29 00:00:00,Diya Gupta,Success,Loan EMI,Retail,Gujarat,₹ 4332.93,₹ 4.33,₹ 0.78
T00016226,2025-08-29 00:00:00,Ishaan Reddy,Success,Loan EMI,Retail,Gujarat,₹ 5416.26,₹ 0.00,₹ 0.00
T00016381,2025-08-20 00:00:00,Anika Mishra,Success,Card Payment,SME,Gujarat,₹ 10003.22,₹ 0.00,₹ 0.00
T00016476,2025-08-07 00:00:00,Aarav Bansal,Failed,Loan EMI,Corporate,Gujarat,₹ 12983.98,₹ 12.98,₹ 2.34
T00017389,2025-08-03 00:00:00,Priya Mehta,Success,Bill Payment,Retail,Gujarat,₹ 10752.32,₹ 0.00,₹ 0.00
T00017793,2025-08-23 00:00:00,Diya Desai,Success,Fee Charge,Premium,Gujarat,₹ 597.36,₹ 0.00,₹ 0.00
T00018128,2025-08-22 00:00:00,Sara Patel,Pending,Withdrawal,Retail,Gujarat,₹ 2333.91,₹ 0.00,₹ 0.00
T00018661,2025-08-08 00:00:00,Anika Mehta,Success,Interest Credit,Wealth,Gujarat,₹ 697.20,₹ 0.00,₹ 0.00
T00018666,2025-08-24 00:00:00,Priya Joshi,Success,Loan EMI,Retail,Gujarat,₹ 5156.84,₹ 25.78,₹ 4.64
T00018670,2025-08-12 00:00:00,Ira Chopra,Success,Card Payment,SME,Gujarat,₹ 5500.03,₹ 11.00,₹ 1.98
T00018803,2025-08-11 00:00:00,Sara Gupta,Success,Card Payment,SME,Gujarat,₹ 1704.92,₹ 0.00,₹ 0.00
T00018846,2025-08-17 00:00:00,Krishna Singh,Success,Loan EMI,Corporate,Gujarat,₹ 11018.64,₹ 0.00,₹ 0.00
T00018883,2025-08-08 00:00:00,Reyansh Iyer,Success,Bill Payment,Premium,Gujarat,₹ 2339.26,₹ 2.34,₹ 0.42
T00019139,2025-08-29 00:00:00,Riya Agarwal,Success,Investment,Premium,Gujarat,₹ 46568.27,₹ 0.00,₹ 0.00
T00020007,2025-08-05 00:00:00,Vivaan Kapoor,Success,Refund,Premium,Gujarat,₹ 4264.94,₹ 8.53,₹ 1.54
T00020455,2025-08-19 00:00:00,Arjun Agarwal,Success,Loan EMI,Retail,Gujarat,₹ 29650.54,₹ 0.00,₹ 0.00
